Theta_AF3,Theta_T7,Theta_PZ,Theta_T8,Theta_AF4,Alpha_AF3,Alpha_T7,Alpha_PZ,Alpha_T8,Alpha_AF4,BetaL_AF3,BetaL_T7,BetaL_PZ,BetaL_T8,BetaL_AF4,BetaH_AF3,BetaH_T7,BetaH_PZ,BetaH_T8,BetaH_AF4,Gamma_AF3,Gamma_T7,Gamma_PZ,Gamma_T8,Gamma_AF4,Command
3.821,3.752,1.188,1.055,6.916,1.663,2.61,2.28,1.153,3.003,2.232,1.046,0.958,0.608,4.23,1.149,0.426,0.775,0.172,1.498,0.494,0.451,0.3,0.336,0.865,0
2.671,1.54,1.58,1.949,5.15,2.244,1.177,2.88,1.317,4.494,2.259,0.944,0.932,0.604,2.342,1.119,0.414,0.796,0.258,1.115,0.539,0.353,0.318,0.397,0.892,0
2.61,1.403,1.944,2.867,5.35,2.46,1.156,2.813,1.398,5.204,2.419,1.214,0.874,0.526,1.551,1.206,0.447,0.792,0.313,1.006,0.534,0.322,0.336,0.426,0.854,0
4.063,1.664,3.085,3.951,7.807,2.982,1.11,2.044,1.462,6.244,2.689,1.565,0.658,0.372,0.764,1.434,0.507,0.652,0.395,0.943,0.482,0.267,0.365,0.442,0.751,0
5.044,1.886,3.799,3.899,9.284,3.311,0.987,1.582,1.419,6.619,2.625,1.587,0.547,0.359,0.714,1.477,0.541,0.539,0.417,0.952,0.449,0.247,0.376,0.435,0.721,1
5.881,2.344,5.1,3.175,11.463,3.762,0.723,1.077,1.219,7.291,2.089,1.369,0.469,0.43,0.897,1.367,0.645,0.438,0.484,1.053,0.405,0.268,0.417,0.423,0.725,1
4.665,2.306,4.749,3.249,11.594,3.388,0.57,1.189,1.084,7.151,1.528,1.003,0.637,0.47,1.046,1.171,0.727,0.643,0.616,1.23,0.5,0.43,0.464,0.494,0.82,1
3.689,1.984,3.921,3.709,10.873,2.86,0.518,1.366,1.063,6.517,1.376,0.853,0.832,0.469,1.005,1.1,0.728,0.783,0.67,1.278,0.672,0.589,0.472,0.626,0.952,1
2.202,1.071,1.89,4.297,8.713,1.835,0.426,1.809,1.03,4.646,1.302,0.701,1.368,0.531,0.941,1.031,0.678,0.901,0.694,1.212,1.325,1.126,0.492,1.191,1.482,1
1.659,0.417,0.851,3.516,6.383,1.734,0.398,2.209,0.919,3.177,1.291,0.739,1.76,0.741,1.618,1.04,0.628,0.832,0.663,1.104,1.994,1.735,0.58,1.876,2.08,1
1.677,0.355,0.817,3.209,5.429,1.998,0.49,2.262,0.837,2.837,1.234,0.795,1.78,0.859,2.252,1.051,0.606,0.809,0.659,1.135,2.105,1.88,0.631,2.036,2.197,1
2.153,0.775,1.146,3.903,4.409,2.531,0.985,1.873,0.653,3.211,1.126,0.923,1.403,0.925,3.443,1.027,0.535,0.856,0.667,1.572,1.712,1.615,0.632,1.739,1.881,1
2.497,1.152,1.438,4.572,4.17,2.673,1.341,1.517,0.606,3.813,1.173,0.953,1.106,0.853,3.848,0.978,0.482,0.895,0.663,1.994,1.325,1.272,0.565,1.374,1.554,1
2.909,1.855,2.177,4.868,3.982,2.895,1.928,0.935,0.834,4.94,1.458,0.864,0.669,0.658,4.568,0.843,0.382,0.88,0.67,2.87,0.647,0.595,0.395,0.68,1.01,1
2.718,2.058,2.684,3.671,3.897,3.369,1.945,0.835,1.508,5.037,1.69,0.606,0.601,0.605,5.21,0.759,0.304,0.712,0.782,3.058,0.396,0.299,0.348,0.353,0.867,1
2.555,1.985,2.666,3.147,3.76,3.552,1.748,0.874,1.881,4.744,1.69,0.478,0.694,0.635,5.168,0.745,0.269,0.612,0.861,2.791,0.403,0.283,0.378,0.302,0.896,1
2.639,1.705,2.123,2.663,3.616,3.312,1.232,0.833,2.353,4.316,1.482,0.32,1.06,0.65,3.992,0.72,0.234,0.491,0.994,1.909,0.509,0.366,0.442,0.299,0.981,1
2.933,1.592,1.88,2.446,3.898,2.864,1.05,0.775,2.436,4.301,1.341,0.294,1.276,0.625,3.159,0.694,0.251,0.494,1.071,1.531,0.565,0.434,0.446,0.335,1.004,1
3.944,1.414,2.477,1.705,6.319,1.92,1.012,0.876,2.584,4.23,1.401,0.371,1.584,0.769,2.247,0.661,0.361,0.591,1.318,1.385,0.631,0.571,0.395,0.472,1.006,1
5.512,1.209,4.665,1.816,11.973,1.869,1.22,1.286,2.886,3.723,1.955,0.605,1.534,1.265,2.436,0.741,0.499,0.654,1.548,2.052,0.663,0.671,0.33,0.668,0.966,1
6.249,1.095,5.818,2.403,14.99,2.103,1.309,1.463,2.942,3.308,2.189,0.757,1.372,1.482,2.536,0.847,0.54,0.643,1.557,2.485,0.681,0.701,0.311,0.767,0.955,1
6.726,0.855,6.723,3.823,17.269,2.511,1.409,1.51,2.527,2.459,2.047,1.088,0.942,1.493,2.331,1.172,0.57,0.59,1.304,2.967,0.688,0.709,0.304,0.895,0.972,1
5.784,0.733,5.123,4.206,13.404,3.332,1.489,1.14,1.759,1.907,1.289,1.313,0.58,0.988,1.773,1.508,0.609,0.538,0.938,2.552,0.614,0.617,0.324,0.833,0.994,1
5.301,0.763,3.87,3.898,10.669,4.186,1.514,0.923,1.521,1.872,1.054,1.304,0.496,0.741,1.545,1.594,0.633,0.506,0.81,2.108,0.561,0.541,0.333,0.732,1.007,1
5.279,1.041,1.962,3,7.792,6.126,1.381,0.684,1.494,2.595,1.125,1.024,0.506,0.522,1.401,1.477,0.638,0.439,0.674,1.222,0.504,0.431,0.318,0.511,1.08,1
6.032,1.754,1.401,2.553,8.693,6.652,1.253,0.787,1.818,4.355,1.512,0.775,0.752,0.56,1.521,1.209,0.66,0.452,0.639,0.738,0.581,0.519,0.275,0.468,1.202,1
6.043,2.271,1.508,2.658,9.36,6.136,1.46,0.949,2.046,5.292,1.802,0.835,0.996,0.654,1.774,1.166,0.717,0.489,0.672,0.704,0.65,0.624,0.259,0.55,1.247,1
4.907,3.163,1.971,3.164,8.915,4.379,2.517,1.358,2.53,6.142,2.607,1.312,1.551,1.014,2.839,1.269,0.86,0.542,0.798,0.948,0.728,0.796,0.246,0.844,1.247,1
4.146,3.32,2.163,3.522,7.991,3.494,3.12,1.57,2.702,5.911,2.99,1.592,1.73,1.213,3.521,1.305,0.895,0.536,0.841,1.107,0.703,0.814,0.241,0.989,1.206,1
14.976,3.032,2.489,5.048,12.818,2.834,3.79,2.117,2.748,5.665,3.329,1.79,1.87,1.385,4.563,1.135,0.886,0.519,0.922,1.289,0.583,0.753,0.254,1.173,1.106,1
57.623,2.542,3.478,7.654,32.477,4.307,3.512,2.758,2.704,7.312,2.956,1.507,2.252,1.218,4.782,0.808,0.894,0.617,1.178,1.456,0.622,0.744,0.421,1.314,1.142,1
