CH1,CH2,CH3,CH4,CH5,Command
6.77,3.139,1.829,5.239,6.536,1
9.245,3.687,1.431,4.629,10.105,1
13.48,3.542,2.917,4.624,11.291,1
30.721,3.702,5.277,4.825,22.889,1
21.295,2.259,3.542,2.954,17.362,1
8.231,1.008,2.344,2.135,7.954,1
9.104,0.951,3.206,1.876,9.635,1
7.811,0.963,3.545,1.933,4.794,1
8.744,0.653,4.013,2.044,2.525,1
3.75,0.702,3.111,1.247,2.335,1
2.781,1.036,1.067,1.29,3.044,1
3.49,0.993,2.307,1.241,5.242,3
4.067,1.376,7.153,1.14,7.465,3
29.686,2.017,7.96,1.115,8.707,1
193.427,2.335,3.117,1.79,42.208,1
141.732,1.76,2.943,1.866,32.355,1
17.625,0.712,1.623,1.739,6.443,3
1.955,1.771,1.273,1.877,4.015,3
5.33,5.144,4.729,3.188,3.429,1
22.155,4.851,7.01,3.991,7.621,2
17.108,4.118,4.334,3.763,9.756,2
8.671,4.971,3.872,3.394,6.091,2
11.613,5.635,4.46,3.297,3.331,2
6.757,4.197,2.307,4.037,2.654,2
5.816,2.603,1.649,3.169,2.622,2
34.692,2.433,1.961,2.994,3.171,2
84.405,2.543,2.289,3.558,4.002,2
42.459,2.881,3.344,4.353,5.718,2
60.431,2.939,2.697,4.173,19.642,2
85.921,2.183,1.854,4.111,29.324,2
36.192,1.468,2.594,4.056,18.346,2
40.276,2.88,7.063,3.615,30.135,2
49.057,3.068,6.207,4.718,31.611,1
19.633,1.406,3.043,3.502,11.723,1
3.84,1.242,2.246,1.58,1.938,3
3.52,1.574,3.08,2.118,2.887,3
5.402,1.981,2.314,2.358,2.957,3
14.979,2.053,1.31,2.168,3.779,3
14.899,1.359,1.592,1.463,3.39,3
4.803,2.195,1.841,2.137,3.818,3
6.28,2.21,1.724,3.779,5.081,3
9.397,1.411,3.181,5.588,4.96,3
19.347,1.07,4.247,4.337,4.853,3
12.999,1.357,2.157,1.944,3.285,3
6.26,1.564,1.844,2.333,3.332,3
8.364,2.839,3.904,3.852,6.456,3
14.851,3.643,7.604,6.452,12.371,3
9.329,1.478,5.933,4.195,9.725,3
9.098,2.057,3.959,4.512,9.083,3
10.495,4.033,6.025,7.135,10.824,3
4.889,4.395,6.037,6.446,7.274,1
2.569,2.88,3.662,4.502,3.425,2
2.566,1.852,3.211,2.431,2.929,2
2.75,1.728,2.294,2.002,4.121,2
8.289,2.172,1.108,3.125,6.421,2
23.305,2.482,0.719,4.361,6.312,2
16.954,2.21,1.626,4.026,2.858,2
4.771,2.533,3.835,5.571,1.451,2
21.09,3.015,5.595,5.094,6.993,2
175.459,3.662,5.195,3.055,51.257,1
133.342,3.24,4.689,2.798,40.57,1
19.374,2.204,2.533,2.298,7.634,3
60.003,1.362,1.141,2.1,1.696,1
768.132,0.636,2.096,1.971,1.863,1
704.944,0.913,2.526,1.094,1.447,1
126.361,1.455,1.763,0.975,2.286,1
8.949,2.484,3.05,2.98,7.858,1
7.796,2.075,3.647,2.794,7.093,1
3.389,1.698,1.573,1.488,2.488,1
2.588,1.3,0.777,1.42,1.504,1
2.563,0.722,0.778,1.254,1.317,3
2.153,0.525,0.885,1.102,1.761,3
1.512,0.858,0.616,0.939,1.188,3
4.005,1.343,1.347,1.385,2.551,3
7.392,1.535,2.26,2.15,4.071,3
7.035,1.206,1.85,2.033,3.49,3
3.732,0.457,0.858,1.416,3.013,3
5.96,0.466,0.674,1.13,1.976,1
9.705,0.891,1.175,1.309,1.974,1
10.183,1.627,2.091,1.647,4.215,1
47.927,2.322,3.838,2.618,22.039,1
43.996,1.45,5.433,1.966,21.041,3
9.394,0.74,3.486,1.355,6.772,3
2.427,1.999,2.536,1.964,2.304,3
47.594,3.009,2.275,3.093,20.19,3
143.327,2.302,5.955,3.75,55.323,3
99.361,2.189,8.383,3.226,37.74,3
19.572,2.061,3.802,1.993,7.984,3
35.829,2.751,0.683,0.99,13.959,3
17.961,2.569,0.649,0.894,7.652,3
2.97,3.384,0.847,1.278,1.972,3
0.958,3.23,1.82,2.376,1.527,3
4.24,3.628,4.58,4.161,4.887,3
19.086,4.261,3.826,3.836,6.215,1
353.05,3.979,1.6,2.589,6.136,1
861.37,2.792,1.16,1.62,3.769,2
303.897,2.465,3.029,2.368,3.337,1
18.413,4.964,4.488,4.546,4.77,1
46.612,9.47,5.487,7.37,4.848,2
77.59,9.645,7.475,5.662,4.423,2
44.417,7.488,11.249,6.77,5.407,2
26.515,7.478,9.883,8.173,6.623,2
10.053,6.616,6.462,4.273,5.891,2
3.283,3.18,4.299,2.415,2.893,2
4,3.225,4.265,4.629,3.1,2
8.724,3.024,3.704,5.849,4.659,2
23.4,1.434,2.531,3.817,4.497,2
25.122,1.444,1.672,1.684,3.329,2
54.014,2.143,3.847,2.967,20.69,2
106.742,2.127,4.179,4.124,42.825,2
69.18,3.346,3.684,2.154,26.543,1
23.131,7.598,7.645,1.149,7.972,1
6.42,3.647,5.13,0.976,4.758,3
1.84,1.186,1.892,1.451,2.341,3
20.87,1.507,1.491,3.018,8.017,3
122.173,4.023,3.276,2.815,36.99,3
120.431,4.636,5.586,2.142,34.629,3
84.179,2.224,5.825,3.557,24.129,3
119.66,1.298,7.216,2.773,34.961,3
55.735,1.626,8.12,2.385,17.619,1
3.708,2.336,4.92,3.114,3.031,1
1.708,1.424,8.98,3.511,2.906,3
2.105,1.219,18.024,4.017,4.117,3
28.751,1.713,10.101,4.216,11.062,1
222.402,4.101,3.2,3.421,50.402,1
171.926,3.184,4.024,2.219,34.4,1
24.562,2.407,3.16,2.111,6.577,1
0.95,2.291,2.152,1.567,2.578,3
0.873,1.036,2.025,0.876,2.122,3
3.176,1.068,4.745,1.799,2.677,3
4.732,2.652,7.311,2.057,2.99,3
4.521,1.978,3.938,1.902,5.348,3
5.41,1.357,1.677,2.365,6.383,3
5.208,1.587,0.843,3.716,3.399,3
9.727,2.403,0.892,3.041,3.609,3
33.882,2.253,1.659,2.149,5.941,3
51.344,2.115,1.91,2.872,4.784,3
23.233,2.872,3.195,2.936,3.853,3
3.007,2.364,4.821,3.452,3.385,3
2.982,1.741,3.236,3.245,2.219,3
7.1,1.459,1.591,1.678,2.856,3
10.444,1.09,1.477,1.266,3.134,3
5.959,1.423,3.393,2.808,3.108,3
5.422,2.839,4.278,5.474,5.403,3
9.861,6.745,7.299,8.151,9.793,3
50.197,63.311,65.258,65.443,67.358,3
130.267,142.718,140.845,147.808,134.364,3
83.175,89.142,86.641,100.492,78.707,3
31.888,42.585,44.011,53.97,38.65,3
9.936,10.369,13.07,14.344,13.614,3
15.319,2.854,6.093,4.818,12.955,3
147.304,2.818,6.697,5.242,16.242,1
177.508,1.989,7.179,3.327,19.962,1
57.659,2.052,6.28,2.208,13.128,3
290.018,2.459,5.152,1.342,10.399,1
1438.332,6.569,7.321,6.24,22.901,1
894.299,16.849,16.408,18.591,29.043,2
230.179,20.787,21.608,33.462,20.851,2
307.789,11.946,12.751,23.107,8.427,2
230.724,34.368,33.056,36.087,26.155,2
110.918,75.884,75.904,78.975,69.684,2
58.28,46.961,47.761,47.115,45.595,2
7.258,5.616,5.903,5.047,5.885,2
2.731,1.89,1.557,2.601,4.189,2
2.562,1.857,1.438,2.721,3.804,2
2.373,1.055,1.297,2.544,3.498,1
3.865,1.669,1.698,2.913,4.266,1
12.251,1.801,1.939,2.003,9.466,1
40.945,0.775,1.774,2.04,30.066,1
38.669,1.423,2.266,4.164,30.933,1
13.077,2.794,2.102,7.884,11.744,2
8.934,2.92,3.049,6.86,5.739,2
174.263,2.933,6.549,5.055,64.513,1
305.123,4.438,11.763,7.548,114.811,1
142.002,3.895,8.259,5.565,54.321,3
15.665,2.27,3.692,4.037,6.528,1
32.591,1.909,4.2,5.838,13.62,1
123.998,2.091,6.567,7.045,43.129,1
