CH1,CH2,CH3,CH4,CH5,Command
745.834,8.291,6.275,6.181,141.526,2
912.864,7.561,6.146,5.04,150.807,2
1438.499,19.73,15.217,10.398,211.204,2
1590.24,34.139,27.932,19.719,270.87,2
725.849,17.156,23.779,13.129,166.229,2
161.868,6.097,15.474,5.524,45.476,2
10.279,3.931,10.352,2.536,6.702,1
95.653,3.216,8.926,3.293,26.511,1
226.348,7.632,15.525,12.492,64.622,3
76.725,4.703,9.568,8.922,26.201,3
38.367,1.521,4.215,2.444,12.968,3
161.462,1.69,5.001,2.152,45.872,3
103.778,1.31,5.098,1.704,28.195,3
10.323,1.412,2.479,1.838,4.701,3
3.589,1.667,1.866,2.236,5.255,3
3.363,1.818,2.088,3.987,7.695,3
1.832,1.286,2.163,3.41,4.448,3
1.085,1.151,1.574,1.627,1.573,3
1.491,1.641,1.024,1.679,1.647,3
1.384,1.236,0.951,1.841,2.498,3
1.073,0.665,0.809,1.615,2.054,3
37.749,1.765,1.923,1.42,9.701,3
111.667,2.315,4.48,1.572,28.339,3
79.495,2.452,4.792,2.09,20.426,3
24.057,3.387,4.96,2.837,10.377,1
45.044,13.286,9.748,8.992,35.03,2
47.45,20.107,16.47,16.012,29.106,2
47.879,29.993,23.21,26.864,22.658,2
24.677,19.828,13.842,18.696,12.737,2
10.128,4.591,4.958,6.094,4.359,2
8.497,3.19,3.146,3.379,5.4,2
3.846,2.454,3.143,3.261,2.97,2
2.829,2.32,3.478,3.118,1.538,2
3.455,1.646,1.522,2.497,2.321,2
16.583,1.333,2.841,2.334,7.916,2
133.743,3.447,9.606,4.515,55.197,2
233.508,19.619,24.029,24.832,110.054,2
73.883,24.799,22.568,33.948,46.253,2
9.794,6.378,5.147,11.207,7.929,2
1.704,1.715,1.224,17.738,2.879,2
2.188,1.439,1.832,20.164,3.167,1
3.646,0.803,1.737,4.706,3.934,3
3.536,1.122,1.22,1.24,3.947,3
2.947,1.545,0.965,1.748,3.162,3
27.286,2.968,2.174,2.753,10.085,3
90.564,6.088,5.734,4.341,27.41,3
127.727,6.569,6.748,4.922,37.11,3
75.033,2.878,3.219,2.667,21.111,3
12.988,1.182,1.114,1.524,4.542,3
2.572,1.107,1.929,2.269,1.354,3
2.475,1.436,2.563,2.856,1.668,3
2.58,1.768,3.392,2.072,2.043,3
4.399,2.459,4.699,1.773,3.367,3
10.754,3.098,5.796,3.857,8.38,3
8.248,2.221,3.489,5.188,9.429,3
4.34,2.581,3.628,4.558,6.049,3
4.206,2.658,4.483,2.749,4.023,3
3.441,2.685,3.535,3.214,4.554,3
2.152,3.219,2.633,2.937,3.863,3
2.319,3.128,3.876,2.19,2.908,3
4.85,2.948,7.754,2.735,3.854,3
6.427,4.321,8.03,3.335,4.578,3
5.224,4.749,4.601,2.316,3.771,3
32.719,2.745,3.799,1.558,10.018,3
119.207,1.543,4.227,2.191,28.494,3
68.119,1.958,3.396,3.604,14.585,3
14.408,1.805,3.65,3.673,4.659,3
12.619,1.128,5.42,2.454,5.135,3
5.323,0.823,4.716,1.972,3.916,3
3.974,1.338,1.734,2.19,3.921,3
5.247,1.749,1.643,4.625,4.514,3
5.663,2.814,1.334,7.805,6.1,3
5.653,3.484,1.523,5.954,4.893,3
15.126,2.627,2.929,2.621,6.227,3
14.16,1.936,3.692,1.915,5.997,1
8.449,2.08,5.309,3.297,4.169,2
8.961,1.703,7.831,6.444,3.979,2
13.261,0.884,7.634,3.668,6.298,2
18.128,3.058,5.386,4.984,12.01,1
55.596,20.737,15.462,18.498,49.935,2
72.87,30.853,18.491,28.806,68.792,2
52.601,39.656,24.637,38.025,32.759,2
86.237,66.066,42.634,59.413,42.692,2
50.3,34.784,25.157,34.197,24.732,2
12.716,9.657,11.598,9.484,6.733,2
13.315,18.577,24.756,20.027,12.078,1
7.056,9.209,14.911,11.272,7.371,1
4.58,2.154,5.164,4.08,6.317,1
4.552,2.24,3.886,3.5,7.072,1
3.68,3.029,3.545,2.594,5.027,1
2.509,1.732,4.523,2.26,4.494,3
3.91,2.925,4.805,2.917,6.231,3
7.771,7.998,5.23,5.729,9.81,3
12.688,10.611,23.94,9.755,11.27,3
40.775,29.55,97.778,45.846,34.585,3
321.994,176.436,249.94,195.432,215.124,3
588.041,293.124,305.404,282.011,358.486,3
